rank,name,About,City,State,Graduation Rate,College Readiness,Enrollment 9-12,Math Proficiency,Student-Teacher Ratio,Reading Proficiency,STEM Index
74,Lowell High School,"Lowell High School offers a rigorous curriculum focused on honors-level and Advanced Placement courses, including chemistry, calculus and economics. Lowell High School also offers a variety of foreign languages, and its athletic teams claim more city championships than any other public high school in San Francisco. Distinguished Lowell alumni include three Nobel Prize winners and famed gorilla researcher Dian Fossey.",San Francisco,CA,98.3,86.203,2632,85.0,24.0,96.0,80.74082912
75,BASIS Prescott,BASIS Prescott is ranked eighth within Arizona. Students have the opportunity to take Advanced Placement&#174,Prescott,AZ,90.0,100.0,75,,,,82.35632184
76,High School of American Studies at Lehman College,"The High School of American Studies at&nbsp;Lehman College&nbsp;specializes in American history. All courses at the High School of American Studies at Lehman College are taught at the honors or Advanced Placement level. To supplement in-class learning, HSAS students travel to historical sites and attend seminars with guest speakers. Juniors and seniors at HSAS can enroll in courses at Lehman College, and all students are encouraged to embark on individual research projects.",Bronx,NY,100.0,100.0,399,96.0,14.0,,83.19318182
77,STEM Early College at N.C. A&T,"STEM Early College at N.C. A&T is ranked second within North Carolina. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at STEM Early College at N.C. A&T is 89%. The total minority enrollment is 77%, and 21% of students are economically disadvantaged. STEM Early College at N.C. A&T is 1 of 30 high schools in the Guilford County Schools.",Greensboro,NC,95.0,86.17,192,,21.0,100.0,58.33333333
78,Townsend Harris High School,"Townsend Harris High School is ranked ninth within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Townsend Harris High School is 100%. The total minority enrollment is 84%, and 60% of students are economically disadvantaged. Townsend Harris High School is 1 of 533 high schools in the New York City Public Schools.",Flushing,NY,100.0,97.627,1322,93.0,15.0,,75.26217038
79,Dr. Ronald E McNair High School,"Dr. Ronald E McNair High School is ranked sixth within New Jersey. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Dr. Ronald E McNair High School is 95%. The total minority enrollment is 80%, and 34% of students are economically disadvantaged. Dr. Ronald E McNair High School is 1 of 8 high schools in the Jersey City Public Schools.",Jersey City,NJ,100.0,87.963,701,90.0,13.0,98.0,74.27840301
80,Pacific Collegiate Charter,"Pacific Collegiate Charter is ranked eighth within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Pacific Collegiate Charter is 100%. The total minority enrollment is 37%, and 9% of students are economically disadvantaged. Pacific Collegiate Charter is the only high school in the Pacific Collegiate Charter District.",Santa Cruz,CA,93.8,97.384,344,76.0,16.0,85.0,78.72808521
81,University High School (Tucson),"University High School offers honors and Advanced Placement courses, as well as electives such as software development and beginning dance. University High School partners with the University of Arizona to offer concurrent enrollment in an engineering course. Foreign languages offered include French and German, and student groups range from yoga club to Model United Nations. Former U.S. Rep. Gabrielle Giffords graduated from University High.",Tucson,AZ,95.4,97.677,1060,96.0,23.0,98.0,79.17215832
82,Lynbrook High School,"Lynbrook High School is ranked ninth within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Lynbrook High School is 84%. The total minority enrollment is 93%, and 4% of students are economically disadvantaged. Lynbrook High School is 1 of 6 high schools in the Fremont Union High.",San Jose,CA,99.1,81.25,1741,95.0,23.0,96.0,90.36062984
83,University High School (Tolleson),University High School (Tolleson) is ranked 10th within Arizona. Students have the opportunity to take Advanced Placement&#174,Tolleson,AZ,,98.5,379,85.0,22.0,,51.42931998
84,BASIS Chandler,"BASIS Chandler is a charter school that serves fifth through 12th graders. It&#39;s part of a network of&nbsp;public charter schools with locations across the country.&nbsp;Its students are required to start taking Advanced Placement classes and exams in ninth grade. By senior year, students can participate in the AP Capstone program or the charter school network&#39;s own senior program. Students in BASIS&rsquo; senior program take seminar-style classes for two-thirds of the year and can propose an off-campus project for the last trimester. While at BASIS Chandler, students can participate in a range of extracurricular activities, including bug club, yearbook club and jazz band.",Chandler,AZ,71.0,100.0,344,,,,96.47031323
85,Judge Barefoot Sanders Law Magnet,"Judge Barefoot Sanders Law Magnet is ranked 10th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Judge Barefoot Sanders Law Magnet is 100%. The total minority enrollment is 95%, and 68% of students are economically disadvantaged. Judge Barefoot Sanders Law Magnet is 1 of 39 high schools in the Dallas Independent School District.",Dallas,TX,99.0,83.333,478,85.0,18.0,97.0,35.79943868
86,Dr. T.J. Owens Gilroy Early College Academy,"Dr. T.J. Owens Gilroy Early College Academy is ranked 10th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Dr. T.J. Owens Gilroy Early College Academy is 100%. The total minority enrollment is 87%, and 38% of students are economically disadvantaged. Dr. T.J. Owens Gilroy Early College Academy is 1 of 4 high schools in the Gilroy Unified School District.",Gilroy,CA,95.8,78.716,279,95.0,25.0,100.0,
87,Dupont Manual High School,"Dupont Manual High School is ranked first within Kentucky. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Dupont Manual High School is 80%. The total minority enrollment is 50%, and 22% of students are economically disadvantaged. Dupont Manual High School is 1 of 44 high schools in the Jefferson County Public Schools.",Louisville,KY,98.2,74.776,1925,78.0,18.0,85.0,67.46270011
88,Advanced Technologies Academy,"Advanced Technologies Academy is ranked first within Nevada. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Advanced Technologies Academy is 92%. The total minority enrollment is 79%, and 100% of students are economically disadvantaged. Advanced Technologies Academy is 1 of 73 high schools in the Clark County School District.",Las Vegas,NV,95.0,81.203,1177,72.0,22.0,91.0,56.77280336
89,Patrick F. Taylor Science and Technology Academy,"Patrick F. Taylor Science and Technology Academy is ranked second within Louisiana. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Patrick F. Taylor Science and Technology Academy is 83%. The total minority enrollment is 55%, and 28% of students are economically disadvantaged. Patrick F. Taylor Science and Technology Academy is 1 of 19 high schools in the Jefferson Parish Schools.",Avondale,LA,95.0,74.793,487,96.0,28.0,99.0,70.60521162
